id,year,newspaper,language,script,title,text,url
news_archive:CNTS-00098985257,1896,독립신문(서재필),Modern Korean,Hangeul,독닙신문이 본국과 외국졍을 자셰이 긔록터이요 졍부 속과 민간 소문을,광고 독닙신문이 본국과 외국졍을 자셰이 긔록터이요 졍부속과 민간 소문을 다보고 터이라 졍치샹일과 농 쟝 의술샹 일을 얼만콤식 이신문샹 일 긔록홈 갑슨 일년에 일원삼십젼 에 십이젼 쟝에 동젼 푼 독닙신문 분국이 졔물포 원산 부산 파주 숑도 평양 슈원 강화 등지에 잇더라 신문을 노졍든지 일년간으로 졍여 사보고스분이 졍동 독닙신문샤로 와셔 돈을 미리내고 셩명과 집이 어라고 젹어 노코 가면 로걸어 신문을 보내줄터이니 신문 보고 스분이 속히 셩명을 보내기 라옴 무론 누구든지 무러볼말이 잇든지 셰상사의게 고스분말잇면 이신문샤로 간단게 귀졀여셔 편지면 답만말이든지 신문에 낼만 말이면 답터이요 내기도 터이옴 한문으로 편지 당초에 샹관아니홈 경향간에 무론 누구든지 길거리에셔 쟝이 이신문을 가져다가 노코 팔고져 거든 여긔와셔 신문을 가져다가 팔면 열쟝에 여쟝만 세음고 쟝에 여든쟝만 세음홈,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985257
news_archive:CNTS-00098985258,1896,독립신문(서재필),Modern Korean,Hangeul,우리가 독닙신문을 오 처음으로 츌판 조션속에 잇 외국 인민의게,우리가 독닙신문을 오 처음으로 츌판 조션속에 잇 외국 인민의게 우리 쥬의를 미리 말여 아시게 노라 우리는 첫 편벽 되지 아니고로 무당에도 상관이 업고 샹하귀쳔을 달니졉아니고 모도죠션 사으로만 알고 죠션만 위하며공평이 인민의게 말 터인 우리가 셔울 셩만 위게 아니라 죠션 젼국인민을 위여 무일이든지 언여 주랴홈 졍부에셔 시일을 셩의게 젼터이요 셩의 졍셰을 졍부에 젼터이니 만일 셩이 졍부일을 자세이알고 졍부에셔 셩에 일을 자세이 아시면 피에 유익 일만히 잇슬터이요 불평 과 의심 각이 업서질 터이옴 우리가 이신문 츌판 기 취리랴게 아닌고로 갑슬 헐허도록 엿고 모도 언문 으로 쓰기 남녀 샹하귀쳔이 모도 보게홈이요  귀졀을 여 쓰기 알어 보기 쉽도록 이라 우리 바른 로만 신문을 터인고로 졍부 관원이라도 잘못이 잇스면 우리가 말터이요 탐관오리 들을 알면 셰샹에 그사의 젹을 폐일터이요 셩이라도 무법일 사은 우리가 차저 신문에 셜명터이옴 우리 죠션 대군쥬폐하와 됴션졍부와 죠션인민을 위 사드린고로 편당잇 의논이든지 만 각코  말은 우리 신문샹에 업실터이옴  에 영문으로 기록기 외국인민이 죠션 졍을 자셰이몰은즉 혹 편벽 된 말만 듯고 죠션을 잘못 각 보아 실샹 졍을 알게고져여 영문으로 조곰 긔록홈 그리즉 이신문은  죠션만 위을 가히 알터이요 이신문을 인연여 외 남녀 샹하 귀쳔이 모도 죠션일을 서로알터이옴 우리가  외국 사졍도 죠션 인민을 위여 간간이 긔록터이니 그걸 인연여 외국은 가지 못드도 죠션인민이 외국 사졍도 알터이옴 오날은 처음인 고로 대강 우리 쥬의만 셰샹에 고고 우리신문을 보면 죠션인민이 소견과 지혜가 진보을 밋노라 논셜 치기젼에 우리가 댸균쥬 폐하 송덕고 만세을 부르이다. 우리신문이 한문은 아니쓰고 다만 국문으로만 쓰거슨 샹하귀쳔이 다보게 홈이라  국문을 이러케 귀졀을 여 쓴즉 아모라도 이신문 보기가 쉽고 신문속에 잇말을 자세이 알어 보게 이라 각국에셔 사들이 남녀 무론고 본국 국문을 몬저 화 능통 후에야 외국 글을 오 법인 죠션셔 죠션 국문은 아니 오드도 한문만 공부  에 국문을 잘아 사이 드물미라 죠션 국문고 한문고 비교여 보면 죠션국문이 한문 보다 얼마가 나흔거시 무어신고니 첫 호기가 쉬흔이 됴흔 글이요 둘 이글이 죠션글이니 죠션 인민 들이 알어셔 을 한문신 국문으로 써야 샹하 귀쳔이 모도보고 알어보기가 쉬흘터이라 한문만 늘써 버릇고 국문은 폐 에 국문 [제2면] 으로 쓴건 죠션 인민이 도로혀 잘 아러보지 못고 한문을 잘알아보니 그게 엇지 한심치 아니리요  국문을 알아보기가 어려운건 다름이 아니라 쳣 말마을 이지 아니고 그져 줄줄려 쓰 에 글가 우희 부터지 아 부터지 몰나셔 몃번 일거 본후에야 글가 어부터지 비로소 알고 일그니 국문으로 쓴편지 쟝을 보자면 한문으로 쓴것 보다 더듸 보고  그나마 국문을 자조 아니 쓴고로 셔툴어셔 잘못봄이라 그런고로 졍부에셔 리 명녕과 국가 문젹을 한문으로만 쓴즉 한문못 인민은 나모 말만 듯고 무 명녕인줄 알고 이편이 친이 그글을 못 보니 그사은 무단이 병신이 됨이라 한문 못 다고 그사이 무식사이 아니라 국문만 잘고 다른 물졍과 학문이잇스면 그사은 한문만고 다른 물졍과 학문이 업 사 보다 유식고 놉흔 사이 되 법이라 죠션 부인네도 국문을 잘고 각 물졍과 학문을 화 소견이 놉고 실이 졍직면 무론 빈부 귀쳔 간에 그부인이 한문은 잘고도 다른 것 몰으 귀죡 남 보다 놉흔 사이 되 법이라 우리 신문은 빈부 귀쳔을 다름업시 이신문을 보고 외국 물졍과 지 졍을 알게 랴 시니 남녀 노소 샹하 귀쳔 간에 우리 신문을 로 걸너 몃간 보면 새지각과 새학문이 길걸 미리 아노라,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985258
news_archive:CNTS-00098985259,1896,독립신문(서재필),Modern Korean,Hangeul,관보 월 일 경셩부 쥬 박게혁,경셩부 쥬 박게혁 쥬 관찰 윤길구 공쥬 관찰 니건하 문쳔 군슈 니한용 쳔 군슈 노우 영암 군슈 졍원셩 익산 군슈 졍규혁 덕산 군슈 죠죵셔 졍읍 군슈 김연 봉산군 셰무쥬 니셩건 진잠군 셰무쥬 니긔풍 파쥬군 셰무쥬 니교열 안산군 셰무쥬 한긔윤 졍평군 셰무쥬 박인관 지방 졔도 죠 위원 김즁환 니만 셩긔 윤진셕 한진챵 윤쳘규 김연 김희샹 니경샹 박윤셩 니승원 졍도영,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985259
news_archive:CNTS-00098985260,1896,독립신문(서재필),Modern Korean,Hangeul,관보 월 륙일 궁부 협판 윤졍구,궁부 협판 윤졍구 시죵원경 김죵한 회계원 츌납과쟝 니용교 쥬부 제무 시찰관 인셕보가 삼월 삼일 쟝연 에셔 난민의게 피 다,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985260
news_archive:CNTS-00098985261,1896,독립신문(서재필),Modern Korean,Hangeul,아메리가 합즁국 남에 잇 규바라  섬은 셔바라 속국인 거긔 셩들이,아메리가 합즁국 남에 잇 규바라  섬은 셔바라 속국인 거긔 셩들이 자쥬독닙 랴고 니러나셔 셔바나 관병 고 싸홈 시작지 발셔 일년이 너머 햡즁국 졍부에셔 규바를 독닙국으로 졉  말이 만히 잇 근일에 합즁국 의회원에셔 규바 인병올 셔반아 역젹으로 아니 졉고 의병으로 알아쥬자 의논이 잇셔든이 셔바나 신문지 들이 합즁국을 단이 험담고 셔바나 인민이 미국 사들을 야 실녜  만이 잇고로셔바나 졍부에셔 별노이 조속고 셔바나에 잇 미국인민을 보호다더라 급 일 에 영국 고 불난셔 고 단이 시비가 잇슬 모양 인 영국 군가 동골아라 로 군를 근일에 보낸 에 불난셔 인민이 단이 조아 아니고 엇더면 영불간에 싸홈 되기가 쉽다더라 이탈니 군는 비신니아 군고 아프리가 에셔 싸홈 다가 대패 엿 비신니아 사들은 불난셔 에셔 속으로 도아 준다더라,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985261
news_archive:CNTS-00098985262,1896,독립신문(서재필),Modern Korean,Hangeul,아라샤에 가공 민영환 슈원 윤치호 참셔관 김득련 김도일 졔씨 본월,아라샤에 가공 민영환 슈원 윤치호 참셔관 김득련 김도일 졔씨 본월 초일일에 아라샤 황뎨 즉위 례에 참례 랴고 졔물포 에셔 츌발다 아라샤 황뎨 즉위례에 각국이 다 별을 보 일본셔 륙군대쟝 산현유붕씨가 가고 쳥국셔 니홍쟝 씨가 갓다더라,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985262
news_archive:CNTS-00098985263,1896,독립신문(서재필),Modern Korean,Hangeul,일본 주경공 니하영씨,일본 주경공 니하영씨 그젹게 일본으로 갓다더라,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985263
news_archive:CNTS-00098985264,1896,독립신문(서재필),Modern Korean,Hangeul,슌검일명이 술을 먹고,슌검일명이 술을 먹고 실이 맛당치 아니 고로총슌 하나가 지내다가 그걸보고 슐취 슌검을 지져든이 슌검이 총슌려 불경 말을 고로 총슌이 소지고 자퇴랴든이 경무쳥에셔 소지을 밧지아니고 그져다니라 스나 그슐취든슌검은 거도 아니고  그슌검이 총슌을 보고 비웃는 말울 고로 총슌이 긔여히 사직고 퇴 다니 우리가 듯기에 매우 가엽더군와 슌검이 샹관 실례 여도 벌이 업고 샹관이 도로혀 벌을 닙올 디경이면 규칙은 잇셔 무어셰 쓸는지 몰오겟더라 경무쟝 셔 필경 이일을 쟈셰이 몰으기예 일이 그러케 쳐치가 된게니 우리 경무씨게 이일을 다시 사실여 만일 그슌검이 누구 유셰이을 밋고 총슌의게 실례를 스면그슌검은 곳거 고총슌은 본직을 환급기 라노라,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985264
news_archive:CNTS-00098985265,1896,독립신문(서재필),Modern Korean,Hangeul,탁지대문 압희 션혜쳥 소쇽 슈인이,탁지대문 압희 션혜쳥 소쇽 슈인이 모힌  을유 병슐 뎡 무 긔츅 다 졍비 일만 일쳔여셕을 하여 달나고 모화  친군영 소쇽들 졍비은 몬져 하 여주고 션혜쳥 소쇽의게 아즉 하 여 주지 안 일네라,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985265
news_archive:CNTS-00098985266,1896,독립신문(서재필),Modern Korean,Hangeul,주지회샤,주지회셔울 졍동 각외국 샹등물건을 파 갑도 빗지 아니 더라 각 담와 다른 물건이 만이 잇더라,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985266
