id,year,newspaper,language,script,title,text,url
news_archive:CNTS-00093229648,1883,한성순보,Early Modern Korean,"Hanja, Hangeul",載磚沉海,"香港의 西字報에 『근래에 들으니 粤東의 豫備 船隻들이 磚石을 가득 싣고 있다가 만일 바다에서의 방어가 불리해질 경우 그 배들은 물밑으로 침몰시켜 적군의 함대들로 하여금 항구에 들어올 수 없게 한다』고 云云하는데, 그에 대해 살펴 보건대, 粤省의 大吏가 邊防을 정돈하기에 있는 힘을 다 하는데 어찌 겨우 배를 침몰시켜 항구를 막는 정도에 그치겠는가. 그 신문의 말한 바는 그 한 면만 알았을 뿐이라고 말할 수 있겠다",https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00093229648
news_archive:CNTS-00093230797,1884,한성순보,Early Modern Korean,"Hanja, Hangeul",長人村,"西報에 다음과 같은 이야기가 실렸다. 아메리카 忙打拿省(몬테나 Montana)에 장인촌을 신설하였는데 이 마을에 살기를 희망하는 자는 반드시 관에서 실시하는 身長檢査를 받아 남자는 6척, 여자는 5척6촌 이상이어야 비로소 입촌하여 그곳에서 결혼하고 자녀를 기르면서 편안히 살 수 있다고 한다. 해설자는 말하기를 『서양 사람들은 일거리 만들기를 좋아하지만 한편으로는 깊은 생각을 하기도 한다. 그들이 이 마을을 만들어 장인만을 살게 하는 것은 아마도 신장이 큰 사람끼리 생활하며 자손을 길러 후일의 시험으로 삼으려는 것인 듯하니, 이도 格物의 일단이라 하겠다』고 하였다",https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00093230797
news_archive:CNTS-00093230101,1884,한성순보,Early Modern Korean,"Hanja, Hangeul",廣印社,"성내에 또 광인사가 있는데, 각기 자본을 출자하여 별도로 한 회사를 설립하고 앞으로 서적을 板出하여 이익도 도모하고 문화 창달에 도움을 주기도 할 것이라 한다",https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00093230101
news_archive:CNTS-00093231011,1884,한성순보,Early Modern Korean,"Hanja, Hangeul",프랑스 배가 어찌할 수 없게 되다,"같은 날짜 滬報에 의하면, 프랑스의 赫墨林戰船이 이전에 福州에서 좌초하에 빠져 나갈 수 없게 되었는데, 다른 배가 끌어서 香港에 도착하게 되었다. 그리고 배를 澳門(마카오)으로 옮겨 수리하려고 생각했다. 조사해 본 사람의 말에 의하면 이 배는 비교적 심하게 파손되어서 수리한다 하더라도 완성해서 쓰기 어려울 것이라 했다. 그러므로 프랑스인은 본국으로 돌아가 배를 분해하여 팔아서 경비나 충당하고자 생각한다고 한다. 생각컨대 중국이 독일에 의탁해서 배를 만들고자 하였으나 독일은 局外者의 의리를 지켜, 배가 오지 못하게 했다. 홍콩은 진실로 영구 땅이다. 지금 프랑스가 영국에 의탁해서 배를 수선하고자 하는데 영국이 그것을 거절하지 아니하니 영국은 어찌 국외자의 의리를 지키지 않는가. 전혀 이해할 수가 없구나",https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00093231011
news_archive:CNTS-00093230274,1884,한성순보,Early Modern Korean,"Hanja, Hangeul",敎民들이 죽음을 당하다,"프랑스의 添士日報가 東京(통킹)에서 부쳐 온 편지를 접수해서 보도한데 의하면 월남에서 천주교를 받드는 사람들이 오래전부터 이미 國中에 많았는데 종전에는 프랑스의 보호를 받음으로써 아무런 탈없이 편안할 수 있었지만 근래에 전쟁으로 인하여 프랑스가 대략 통킹을 평정했다고는 하지만 그 힘이 천주교신자들에까지 미치지 않아서 드디어는 이들이 월남의 官兵들에게 마음대로 살육을 당했으니 그 참혹함은 말로써는 형용하기 어려울 정도이다.西曆으로 정월 초하룻날 藩河地方에서 갑자기 월남의 무인들이 산 위에서 衛兵들을 거느리고 敎民들이 거처하는 곳에 달려가서 傳敎人 1명과 敎人 7명을 잡아내서 바로 예배당 밖의 빈터에서 차례로 처형하고, 또 그들의 머리를 끊어 매달아서 대중에게 보이고 또 그렇게 한 뒤에 예배당마저도 불태웠으며 다시 隆登地方으로 가서 敎民 數名을 찾아 죽였으니 다음날 衛兵이 傳敎人이 敎人들과 함께 마을속에 숨어 있다는 것을 정탐해내었는데 바로 그 마을에 달려가서 전교인 1명과 교인 수명을 조사해서 찾아내어 역시 斬首하고는 그 마을마저 불살라버렸으니 불살린곳만도 세곳이나 되며 이밖에도 불사르고 헐린 교당이며 살육된 공인은 여럿 더 있다고 하니 소문대로는 일일이 열거할 수 없다. 어떤이는 이것은 반드시 월남조정의 어떤 지령을 받은 뒤에라야 이와같은 방자한 살육을 할 수 있다고 말하기도 한다. 또한 프랑스병이 宣泰(Son Tay)地方을 공격하여 빼앗은 뒤에 들은 소문은 中國의 某總督이 黑旗兵에게 어떤 문서를 발급하였다는데 그 글에 「교민들을 모조리 살육하되 그 자손을 남겨서 여독이 많도록은 하지 말라」고 했다는 것을 프랑스의 海軍提督인 孤拔(쿠베 Courbet)이 이소식을 듣고 獺頭號 砲船에 急命하기를 『빨리 藩河地方으로 달려가서 군대를 주둔시키고 保護를 서둘러서 그곳 敎民들이 참살당하는 것을 면하도록 하라』고 하였다는 것을 생각해보면, 월남 사람들 중 천주교를 받드는 자를 월남의 官員들이 지난날에는 감히 관여할 마음조차 하지 않았는데 이 보도를 살펴보면 월남 조정의 명령을 받았다고도 말하며 또 중국 어떤 총독이 黑旗에게 글을 주었다고도 한다. 이런 것들은 아마도 西人들에게 이런 소문을 듣도록 종용하여 서인들이 군사를 일으키는 것이 이유가 있다는 것을 보여서 훗날 和解때에 많은 賠償을 요구하기 위한 근거를 만들고자 한 것이 아니겠는가. 사리에 밝은 자가 그것을 열람한다면 반드시 불을 보듯 명백할 것이리라",https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00093230274
news_archive:CNTS-00093230114,1884,한성순보,Early Modern Korean,"Hanja, Old Hangeul",中西公司異同說,"中國에는 본래 소위 公司라는 것이 없었는데, 泰西[서양]와 통상을 한 뒤로 중국 사람들은 서양인들이 수만리를 옴에 있어 길의 먼것과 풍파의 험한 것을 모두 불구하고 큰 자본을 가지고 왕래하면서 그 운영하는 규모나 기상이 中國과는 판연히 天淵의 차이가 있음을 보고, 이에 깊이 그 까닭을 생각한 끝에 서양인들의 경영이 恢廓하고 자본이 많은 것은 모두 다 공사 股分[株]을 이용해 千萬의 財力을 한 곳으로 모아 경영하기 때문에 一人一家의 힘과는 크게 다르다는 것을 알게 되었다. 中國 사람들이 그것을 보고 부러워하여 마침내 따라 法을 받아 一人이 倡導함에 많은 사람이 호응을 하였는데, 심지어 근년 이래로는 이러한 풍조가 크게 번져 公司가 많이 생겨 시중의 股分을 매매하는 자들로 一宗을 이루었고, 買空賣空[買占賣惜]하는 무리도 또한 그 가운데 錯出하여 날로 피폐함이 나타나고 폐단이 백출하여, 오늘날에 이르러서는 많은 사람들이 그 잘못을 공사에 돌리나 그 사실을 연구해 보면, 公司에서 족히 해를 끼친게 아니고 公司를 창립한 자가 경영를 잘 못함으로 인하여 생긴 폐해인 것이다. 본사에서는 앞서 中西公司의 異同說을 이미 대략 말했었다. 그러나 그 가운데에서도 同異의 구분이 오히려 존재하고 있다하겠다. 대저 이미 서양인들의 하는 것을 본 받아서 공사를 개설했으면 무릇 그 公司의 일체 모든 일까지도 마땅히 다시 서양법으로 시행하여야 할 것이다. 대개 서양인들은 이에 수많은 고통과 경험을 바탕으로 제정한 규례와 장정을 정밀한 가운데 더욱 정밀하게 하였기 때문에 자연히 이로움이 있고 폐단은 없게 되었으니, 그것을 모방해 시행하고 따라서 준수하여 그중에서 중국 사람들에게 맞지 않는 것이 있으면 점점 짐작하여 손익해가는 것이 진실로 옳은 방법인 것이다. 그런데도 中國의 여러 公司는 날로 생겨나지만 그러나 서양법을 본 받아 경영하는 공사는 한 두 곳에 불과하고, 그 나머지는 모두 중국식으로 시행하고 있는 실정이다. 장부에 있어서도 역시 마찬가지이다. 대저 公司에 장부를 두는 것은 통례이다. 中國과 서양인이 근본적으로는 같고 다름이 없는 것 같으나, 서양 公司의 장부는 공평하고 공개적이며, 中國 公司의 장부는 사사롭고 비공개적임을 알지 못해서이다. 이것이 서로 다른 점이다. 무엇을 두고 하는 말인가. 즉 서양의 각 公司는 己成 未成을, 또 이미 開辦했거나 못했거나를 물론하고, 혹 절반 정도만 開辦해도 이미 효력이 성립됨을 볼 수 있다. 公司의 모집한 날로부터 시작해서 一收와 一支를 모두 장부에 기재를 하여 그 機器를 구입하고, 地皮를 매입하고, 房屋을 짓고 하는 등의 큰 비용을 하나 하나 기록하지 않음이 없는 것이다. 公司가 이미 소집되고 股分이 이미 고륵0 되었더라도, 다만 開辦하는 데는 시일이 걸려 아직 開手하지 못했을 때에도 또한 반드시 收支한 것이 있으면 혹 한달에 한번 결산을 하거나, 혹은 매분기별로 한번 稽査를 하고, 매양 반년이 되면 틀림없이 통계를 분명히 뽑아 기록하여 여러 사람에게 볼 수 있도록 제공하는데, 公司]에서는 책자를 만들어 각 주주에게 보내는 것은 말할 것도 없다. 즉 新公司의 아직 開手하지 못한 곳도 살피건대 또한 반드시 淸單을 공개해서 이처럼 각 주주에게 제시하면 주를 소유한 모든 사람들이 불안한 마음을 갖지 않을 것이며, 一見에 公司의 경영하는 제군들이 大公 無我함을 알게 되고, 一見에 그 公司의 털끝만큼도 妄用이 없음을 알게 되어 여러 각 주주들도 역시 이간하는 말이 없게 되어 衆志가 서로 다 믿게 되리니, 이것이 바로 衆擎易擧함이며 공평하고 공개적인 것이다. 대저 中國의 公司는 그렇지 ᄆᄉ하니, 서양법을 따르는 몇몇 大公司를 제외하고는 그 나머지 각 公司인즉 이미 開辦한 者도 있고, 아직 개판하지 못한 者도 있으며, 절반쯤 개판하다가 중지한 者도 있으며, 절반쯤 개판하다가 확충한 자도 있고, 集股를 이미 끝내고도 아직 개판하지 못하여 기다리고 있는 자도 있으며, 개판을 먼저 하여 조금 그 단서를 시험해 보아 장래에 효과가 있기를 기다려 본 연후에 크게 시행하려고 하는 자도 있으나, 그 수지에 대한 각 장부는 公司의 직원들만이 알 뿐, 각 주주들은 懵然히 모르는 상태이다. 오직 알지 못하기 때문에 마침내 외인들의 疑議를 면치 못하고, 외인들이 疑心함으로 인하여 주식을 소유하고 있는 여러 사람 역시 걱정되어 감히 自安하지 못한다. 의심은 의심을 전하고 낭설은 낭설을 전하여, 그 공사의 모든 사무가 마침내 제지를 당하게 된다. 설사 제지까지는 받지 않는다고 하더라도 물의가 들끓으면 장차 어떻게 해명할 것인가. 또 주를 소유한 사람이 그대로 아무 말을 하지 않는다 하나, 모든 情理를 헤아려 보면 결국은 편안함을 얻지 못할 것이다. 가령 公司중에서 사람을 잘못 쓰면 장부를 비교할 근거가 없으므로 公司를 해치는 국면이 클 터인즉, 公司의 모든 사람들은 모두 맡은바 일을 부지런히 하여 한결같이 지극히 공평함을 기하도록 할 것이나, 각 주주들이 다만 모은 주식에 대한 수입만을 알게 하고 그 지출해 쓴 수는 모르게 한다면 또한 信實함을 보이지 못한 것이 된다. 일찍이 한 친구가 있는데 나에게 묻기를 『中國에 근래 주식을 발행하여 公司를 세우는 일들은 여러 사람의 힘을 모아 한가지 사업을 추진하는 것으로서 진실로 훌륭한 일이지만, 그러나 자금이 이미 集成되었어도 곧 바로 개판하지 아니하니 그 本銀이 모두 公司에 있거나 혹은 은행에 있어 능히 두루 융통되지 않는 까닭에 시중의 銀이 이렇게 긴박하니, 앞서 이러한 수十家 公司에서 銀은 동결시키지만 않았더라도 시중의 사정이 이같이 극한 지경에는 이르지 않았을 것 아닌가』 하였다. 나는 대답하기를 『그렇지만은 않다. 이미 公司가 集成되고 이미 資本銀이 모여서 만일 천만냥이라 할지라도 그것은 이미 안배해서 쓸 것이지 다만 저장해 두지 만은 않는 것이며, 또 일시적으로 곧바로 개판하지 못한다 하더라도 보관된 銀은 다음 쓸 기회를 기다리는 것이다. 銀原이 시중에 있어 유통되지 못한 것일 뿐이니, 현재 시중의 銀根의 질서가 무너져 긴박하게된 것이 어찌 오로지 그런 이유에서만이겠는가. 한갓 股分[株式]을 매매하는 사람이 본래 자기의 자본이 없이 남엑0서 빌어 사 모은 다음에 주식 값이 올라가면 팔아서 다시 빚을 갚지만, 주식 값이 떨어지면 손해 보는 것이 많아 형편상 빚을 갚을 수 없게 된다. 이 때문에 망한 사람이 한 둘이 아니다. 이것이 바로 市中의 질서를 깨드리고 銀의 유통을 막는 원인인 것이다. 만일 公司를 창설하는 사람이 모두 서양의 법을 본받아 收支의 각 장부에 털끝 만큼도 구차함이 없고 量入爲出하며, 체재를 분명히 하여 혹은 반년만에, 혹은 1년만에 그 淸單을 명백하게 昭示할 수 있게 만들어서 연말이 되면 각 주주들에게 모두 公司의 覈實하여 하나도 구차함이 없음을 알게 한다면 公司라는 것이 中國의 시장에 해를 끼치지 않을 뿐만 아니라 中國의 商務에도 또한 유익한 것이 될 것이다. 中國과 西洋의 人情이 또한 어찌 참으로 크게 서로 같지 않겠는가』 하였다",https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00093230114
news_archive:CNTS-00093231163,1884,한성순보,Early Modern Korean,"Hanja, Hangeul",軍務密電,"22일 循環報에 『福建과 臺灣 督辦·軍務巡撫銜 劉福永이 總理衙門에 보내온 密電에 의하면 「프랑스인이 지난달 16일 基隆에서 敗退한 뒤 이달 10일 오후에 다시 兵船을 진수하여 항구에 정박시켰으나 아직 전쟁을 일으키는 사단은 없읍니다. 다만 계속 사신을 파견하여 臺灣, 臺北의 二府를 割當해 주기를 요구하고 있읍니다. 巴德諾脫(Bodoliere. G.)을 臺灣國王에 봉해주면, 영원히 중국에 조공할 것이며, 프랑스 통치하의 소속으로 하지 않을 것이라고 합니다. 만약 허락하지 않으면 15일을 기한으로 힘을 다하여 공격해서 臺灣을 점령하여 자주국으로 만들 것이며, 아울러 澎湖 舟山 冲繩 등을 취하여 여러 장수들에게 병사들을 내주어 각기 한섬을 차지하게 하여 앞으로 영구히 福建省 변경을 공격하겠다」고 애걸복걸하니 總署에 電文으로 주청했고 貴大臣의 電文이 와서 즉시 繕摺에 의거해서 들어가서 땅을 분할하는 것은 허락할 수 없다는 것을 알렸읍니다만 그 공사가 이미 프랑스 속지로 돌아갔읍니다. 만약 중국 조정에서 허락하여 관작을 내려주면 공법에 합당하더라도 프랑스가 이것을 빙자하여 사단을 만들어 兵士들의 모반이 있을까 두렵습니다. 그러니 防備에 충실해야 합니다. 諭旨가 있기를 기다려 다시 이 電信을 부쳤는데, 20일 오후 9시에 본 省署의 友人이 부쳐온 서신에 의하면 이날 신문 인쇄에서 태반이 小紙에 그 사실을 인쇄하여 각지에 보냈는데, 각 부두에 두루 알지 못할까 두렵습니다. 이에 다시 여러신문에 온 천하로 하여금 모두 다 巴德諾脫의 간계한 술책을 알게 하여 천운을 멸시하고 인륜을 저바리는 자를 다시 프랑스로 돌려보내지 않게 하였읍니다. 프랑스를 배반한 신하가 대만을 점령하게 한다면 우리 나라는 교활한 도적을 돕는 것이 됩니다. 무릇 반역한 신하를 죽이는 권한은 프랑스에 있고 교활한 도적을 죽이는 권한은 우리에게 있는 것입니다. 그렇다면 그게 성세를 내어 추악한 자를 도륙해서 제거해야 합니다. 오늘 바르게 할 일을 마땅히 빨리 처결해야 하는 것입니다』 라고 하였다",https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00093231163
news_archive:CNTS-00093230371,1884,한성순보,Early Modern Korean,"Hanja, Hangeul",監理釜山港通商事務牒報,"이 달 9일 監理事務 李▣【金+憲】永이 정부에 첩보하기를 『甲申 2월 1일 出口·入口收稅를 책으로 만들어 올려보내기에 이에 첩보합니다』 하였다.甲申 2월 入口 當5錢 84兩7錢8分, 1백32文이 1元인데 합계 64元1角2仙7厘5毛이다. 1文錢5천4백1兩5錢4分, 5백50文이 1元인데 합계 9백82元9仙7厘5毛이다. 英銀 8백88元5角9仙, 出口 當5錢9兩8錢4分, 1백32文이 1元인데 합계 7元4角5仙2厘5模이다. 1文錢 4천2백10兩8錢8分, 5백50文이 1元인데 합계 7백65元6角1仙5厘, 英銀 3元6角, 噸稅 1文錢 4백22兩8錢4分, 5白文이 1元인데 합계 84元5角6仙7厘5毛, 英銀 2백43元, 총계 3천39元1角5仙에서 銀行局 경비 7元6角을 빼면 실제 합계액은 3천31원5角5仙이다",https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00093230371
news_archive:CNTS-00093231597,1886,한성주보,Early Modern Korean,"Hanja, Hangeul",慶尙右兵謄補,"6월 13일 慶尙右道兵馬節度使 鄭麒澤이 謄報하기를 『지난달 20일 知禮縣의 戶外閑良 池右永의 14세 되는 딸아이가 大德山에 나물캐러 갔다가 호랑이에게 물려 죽었는데, 屍身에는 물린 흔적만이 있었고 곧 묻어버렸다 합니다. 사람이 물려 죽은 것이 극히 놀랍고 비참한 일인데 惡虎를 아직 잡지 못했으니 참으로 근심이 됩니다. 이름난 포수를 많이 선발하여 불일 내로 잡아 백성을 위험에서 구제하라는 뜻으로 이 邑에 엄하게 명령하였으므로 연유를 갖추어 등보합니다』고 하였다",https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00093231597
news_archive:CNTS-00093231205,1886,한성주보,Early Modern Korean,"Hanja, Hangeul",議政府草記,"11월 26일 議政府에서 올린 草記는 이러하다. 『火賊이 떼지어 약탈하는 것이 이지경에 이르렀으니 驚歎과 통탄을 금할 수 없어 차라리 죽고만 싶읍니다. 도적들을 체포하는 것과 印符를 찾는 일을 잠시라도 소홀히 할 수가 없으니다. 官吏가 印符를 빼앗기는 것은 관계되는 바가 가볍지 않은 것이니 결단코 용서할 수가 없읍니다. 靈山縣監 尹成求는 화적의 준동을 엄하게 단속하지 못하였으니, 책임이 없지 않읍니다. 該府로 하여금 함께 잡아다 勘處하게 하소서』. 이에 대한 전교는 이러하다. 『두 현감은 특별히 조사하도록 하라. 그러나 우선은 戴罪擧行하게 하라』",https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00093231205
