respid,text,sex,age_cohort,political_id3,college
5,동포이니까,Male,40-49,Conservative,No college
6,유창한 한국어,Male,30-39,Centrist,Some college or more
7,없음,Male,40-49,Centrist,Some college or more
8,국적 우선시 함,Female,40-49,Centrist,Some college or more
9,동포,Male,60+,Centrist,Some college or more
10,구직활동이 등록되어 있음,Female,30-39,Progressive,Some college or more
12,한국의 국익과 인권을 위해 이민을 검토하면 될 것 같음,Female,50-59,Conservative,Some college or more
13,한국에 필요한사람같아서,Female,60+,Conservative,No college
14,여자이므로,Male,40-49,Centrist,Some college or more
15,구직 활동에 대한 유무 및 완료 사항,Male,40-49,Progressive,Some college or more
17,같은 민족이라서,Female,18-29,Centrist,Some college or more
18,북한사람이 우리나라 말을 더 잘하기 때문에,Female,18-29,Progressive,Some college or more
20,확실히 근면 성실한 신뢰성이 있는자,Male,60+,Conservative,No college
21,언어구사력,Male,30-39,Conservative,Some college or more
22,한국어 사용,Male,50-59,Progressive,Some college or more
23,이민을 해서 나라에 더 이바지할것 같다,Female,30-39,Centrist,Some college or more
24,조건이 더 좋은것 같아서,Male,60+,Progressive,No college
25,한국어 의사소통 능력,Male,40-49,Centrist,Some college or more
26,이미지,Female,60+,Progressive,No college
27,착실하게 정착해서 생활할 가능성이 커보여서,Female,30-39,Centrist,Some college or more
28,동포이며 절실함이있는사람,Male,60+,Progressive,Some college or more
29,확실히 구직목표가 있다,Female,18-29,Centrist,Some college or more
30,이념적 성향이 우선,Male,50-59,Conservative,Some college or more
31,구직계획,Male,18-29,Centrist,Some college or more
32,어려움 없이 잘 정착할 것 같아서,Male,50-59,Centrist,Some college or more
33,신원의 확실성을 알기 우해서,Female,50-59,Centrist,Some college or more
35,좀더 적응을 잘 할듯,Male,18-29,Centrist,Some college or more
37,둘 다 선호하지 않음.,Male,30-39,Centrist,Some college or more
38,미국사람은 일본사람보다 신뢰가 간다,Female,30-39,Centrist,Some college or more
39,특별한 이유 없음,Male,30-39,Progressive,Some college or more
41,친근감,Male,40-49,Centrist,Some college or more
42,농부로서 구직활동을 하겠다는 점,Male,60+,Conservative,Some college or more
45,한국어를 유능하게 잘 해서~,Female,60+,Centrist,Some college or more
46,확실한 구직의사,Male,50-59,Conservative,Some college or more
47,신뢰가 가서,Male,50-59,Centrist,No college
48,고용계약이 된 사람이라서,Male,50-59,Progressive,Some college or more
49,아무래도 정서적으로 가까운...,Female,50-59,Centrist,Some college or more
50,더 호감이 가서,Female,40-49,Progressive,Some college or more
52,1후보자 사무직은 우리 인력이 남아 도는 경우지만 2후보자의 과학연구직은 필요 인력,Female,40-49,Centrist,Some college or more
53,"망명, 남자, 농부",Male,50-59,Progressive,Some college or more
55,다시 한번 검증할 대상이기 때문,Male,60+,Progressive,Some college or more
58,우리나라에 이익이 가느냐 안 가느냐의 유무,Female,50-59,Centrist,No college
59,출신지때문에,Female,50-59,Centrist,Some college or more
60,직업이 있어서,Female,30-39,Centrist,Some college or more
61,동포이기때문,Female,50-59,Conservative,Some college or more
62,동포이자 농사로 국가 발전에 조금 더 이득일 듯,Male,30-39,Conservative,Some college or more
64,직업,Female,40-49,Centrist,No college
65,마음에 들었다,Female,40-49,Centrist,Some college or more
66,전체적으로 파악하여 선택 하였다,Male,50-59,Progressive,Some college or more
67,"1. 예맨보단 북한의 같은 민족이 좋을것으로 판단됨.(단, 간첩이 아니라는것이 확실할때) 2. 우방국인 미국이기떄문에 문제가 없을것 3. 중국은 싫음.",Male,30-39,Conservative,Some college or more
68,예멘(이슬람)인의 입국보다는 중국인이 낫다.,Male,30-39,Conservative,Some college or more
70,"우리나라에서 일하고 적응 잘하면 문제없이 살수 있을것 같아서요,, 아무준비 없이 오는 사람들은 받아주고 싶지 않아요, 나라세금으로 그사람들에게 가는게 너무 아쉽습니다. 우리나라사람도 정말 필요로 하는 세금들이 많잖아요,,",Female,40-49,Centrist,No college
71,우선적으로 한국 오는 이유가 정확한 사람을 뽑고 싶었습니다,Female,30-39,Progressive,Some college or more
72,진정성,Female,30-39,Conservative,Some college or more
73,단기근무이기 때문,Male,50-59,Conservative,Some college or more
75,보지,Female,40-49,Centrist,Some college or more
77,구직계획이 있음,Male,60+,Centrist,Some college or more
76,여성이면서 직업이 좋은것같아서,Male,60+,Conservative,Some college or more
78,이민이 꼭 필요할것 같아서,Female,40-49,Progressive,Some college or more
80,국내활동가능성,Male,40-49,Progressive,Some college or more
81,아무래도 같은 동포니까 선택했습니다,Female,50-59,Conservative,Some college or more
83,우리말을 잘 하는지와 같은 동포로서 우리 사회에 동화되기 쉬운지를 판단했을 때 더 나아 보여서,Female,40-49,Conservative,Some college or more
84,이민이 절박해 보여서,Male,30-39,Conservative,Some college or more
85,"동포, 간호사, 여성",Male,60+,Progressive,Some college or more
86,사무직,Female,18-29,Centrist,Some college or more
87,같은 국가라면 여성의 이민이 더 낫다고 판단,Male,30-39,Centrist,Some college or more
88,한국에 이민을 온 명확한 계획성과 준비성이 있어서 믿을수 있다는 신임을 가질수 있엇다,Male,30-39,Conservative,Some college or more
89,"사용자와의 계약 완료인가, 아닌가를 중점적으로 살폈음",Female,60+,Progressive,Some college or more
90,출신국가,Male,60+,Centrist,No college
91,직업이 간호사인게 맘에 들었다. 점점 수명이 늘어나면서 간병인들의 수요가 높아지는데 반해 공급이 원활하지 않은게 사실이다. 물론 간호사이긴 하지만 노인요양병원이나 간병인으로 활용하면 우리 사회에 좋게 작용할 거 같다.,Female,30-39,Conservative,Some college or more
92,한국말을 할 줄 알면 적응하기 쉬울 거 같다.,Female,40-49,Centrist,Some college or more
93,북한출신 재정착 지원이 동포애차원에서 선호됨,Male,60+,Conservative,No college
94,한국에서 놀고 먹은 이유가 없어보임,Male,50-59,Centrist,Some college or more
95,고용주와의 취직여부를우선적으로 고려함,Male,18-29,Conservative,No college
96,이민국의언어와교육으로준비되어있음,Male,60+,Progressive,Some college or more
97,망명은 어쩔수 없는 상황에서 한것으로 판단,Male,40-49,Centrist,Some college or more
98,이민의 구체적인 사유가 있어보였음,Female,30-39,Progressive,Some college or more
99,재정착,Male,30-39,Centrist,Some college or more
100,한국어실력 이민목적,Male,18-29,Progressive,Some college or more
101,더 신뢰감이 가서,Male,50-59,Conservative,Some college or more
102,의사라는 직업의 활용,Male,18-29,Conservative,Some college or more
103,IT관련 종사자를 선호했다.,Male,30-39,Centrist,Some college or more
104,면접완료,Male,40-49,Progressive,Some college or more
105,고용주와 계약된 단기근무라서,Female,40-49,Progressive,Some college or more
106,안전성,Female,50-59,Centrist,Some college or more
107,신원이 좀더 확실해 보임. (과거 데이타가 더 필요) 한국에 오려는 목적을 명확히 파악할 필요 있음.,Male,40-49,Centrist,Some college or more
108,일본인,Male,50-59,Conservative,Some college or more
109,한국어가 유창함,Female,50-59,Conservative,No college
110,그나마 고르자면 잠깐만 머무니까 선호가 간다고 느낌 대한민국도 모든 사람이 잘 사는게 아니라 그 못사는 사람을 지원해줄지 언정 이민한 사람을 그닥 환영하고 싶지는 않음,Male,18-29,Centrist,Some college or more
111,단기근무를 위한 신청이라 심사를 까다롭게 할 이유가 적어서,Male,40-49,Centrist,Some college or more
112,한국에 필요한 사람인 것 같아서,Female,30-39,Conservative,Some college or more
113,언어 능력,Female,18-29,Progressive,No college
116,성실성,Female,50-59,Conservative,No college
117,한국에 이민오기위해 준비를 많이한걸로 판단되기 때문(예를들어 취업을 위해 이미 준비하고 취업이 된 상태로 신청한 사람들이기 때문에),Female,40-49,Progressive,Some college or more
118,언어,Male,60+,Progressive,Some college or more
119,노력이보임,Female,50-59,Centrist,Some college or more
121,자국의경제력이 좀더 나은 이민자들이 흡수되면 여러가지로 우리나라에 끼치는 영항력이 더 나을거 같아서,Female,50-59,Centrist,No college
122,사회적인 문제를 일으킬 만한 사람은 아닐것으로 간주되어서,Female,18-29,Conservative,Some college or more
123,재정착의 이유이기 때문에,Female,18-29,Centrist,Some college or more
124,"같은 민족, 한국어나 한국문화에 익숙한 사람을 우선으로 해야함",Male,30-39,Centrist,Some college or more
125,한국말도 어느 정도 할줄 알고 직장도 있고 동포이기 때문,Male,50-59,Centrist,Some college or more
126,베트남,Male,50-59,Centrist,Some college or more
127,한국과 친근함이 보임,Female,40-49,Progressive,Some college or more
128,한국에 정착해서 살아갈수 있을것 같은 사람,Male,60+,Progressive,No college
129,부단한노력,Female,50-59,Progressive,No college
131,"동포이고, 또 한국에서 구직활동하면서 생산성에 기여할 수 있어서",Male,50-59,Centrist,Some college or more
132,한국어도 유창하고 취업도 보장되므로 한국에서 살기에 어려움이 없을 것같아서,Female,50-59,Centrist,Some college or more
133,우리 사회와 동화될 수 있어서,Male,50-59,Centrist,Some college or more
134,연민,Male,18-29,Centrist,Some college or more
135,고용주와 계약 완료되서,Female,18-29,Progressive,Some college or more
136,한국에 살려는 의지,Male,60+,Conservative,Some college or more
137,취업이 확정이 되어서 선택하였습니다,Female,30-39,Centrist,Some college or more
140,"이민국 고유의 문화에 얼만큼 잘 어우러질 수 있는지, 토착민들과 잘 융합될 수 있는지의 여부를 따져봤다",Female,18-29,Progressive,Some college or more
141,한국어가 유창하고 재정착,Male,30-39,Progressive,Some college or more
142,어쨋든 우리 동포이면서 연구원이라서 우리 사회에 도움이 될듯해서,Female,50-59,Centrist,Some college or more
144,"첫째 동포이었으며, 두째는 취업 의지가 있었음.",Male,60+,Conservative,No college
145,나의주관,Male,40-49,Progressive,No college
146,우리나라에서 이점만 취하고 먹튀하려는지 여부를 가늠해봤음,Female,30-39,Conservative,Some college or more
147,확실한 동기가 있으며 우리나라에 필요 인력군임,Female,40-49,Progressive,Some college or more
148,이민을 좀 더 확실히 원하는 프로필이였다,Male,40-49,Centrist,Some college or more
149,같은 민족이기때문에,Female,30-39,Conservative,Some college or more
150,"특별한 이유 없고, 위험성이 낮으니까",Female,50-59,Conservative,No college
151,한국어 사용 가능여부 취업 의지 여부,Male,30-39,Centrist,Some college or more
152,조금이라도 의지가 보여서,Male,18-29,Centrist,Some college or more
