respid,response_type,response_text,sex,age_cohorts,political_id3,close_nkmigrants
17,hire,연륜,Male,40-49,Progressive,Neither close nor distant
17,neighbor,한국에 적응,Male,40-49,Progressive,Neither close nor distant
17,vote,한국에 적응,Male,40-49,Progressive,Neither close nor distant
18,hire,직업도 있고 해서,Male,30-39,Conservative,Somewhat distant
18,neighbor,직업적으로 좋아 보여서,Male,30-39,Conservative,Somewhat distant
18,vote,직업적으로 더 안정돼 보여서,Male,30-39,Conservative,Somewhat distant
19,hire,한국 체류기간이 길어서,Male,40-49,Centrist,Neither close nor distant
19,neighbor,"체류기간, 한국인 동료",Male,40-49,Centrist,Neither close nor distant
19,vote,체류기간,Male,40-49,Centrist,Neither close nor distant
20,hire,자녀가 있고 체류기가도 있어서,Male,30-39,Centrist,Neither close nor distant
20,neighbor,연령이 적합해서,Male,30-39,Centrist,Neither close nor distant
20,vote,아는 지인이 먆아서,Male,30-39,Centrist,Neither close nor distant
21,hire,정치를 하려면 기본적으로 어느정도 연령이 되어야할것같아서,Female,30-39,Progressive,Neither close nor distant
21,neighbor,아이가 없으면 일하는데 지장이 없을것같아서,Female,30-39,Progressive,Neither close nor distant
21,vote,체류기간이 상대적으로 적은사람에게 이웃이 되어주고 싶어서,Female,30-39,Progressive,Neither close nor distant
22,hire,나이가 젊음,Female,18-29,Progressive,Very close
22,neighbor,탈북한지 충분히 오래되었음,Female,18-29,Progressive,Very close
22,vote,탈북민과 교류,Female,18-29,Progressive,Very close
23,hire,안정적일거 같아서,Male,30-39,Progressive,Neither close nor distant
23,neighbor,안정적,Male,30-39,Progressive,Neither close nor distant
23,vote,안정적,Male,30-39,Progressive,Neither close nor distant
24,hire,조선노동당원이 아니여서,Female,40-49,Centrist,Somewhat close
24,neighbor,북한체류도 길고 고생해 온것 같아 도움을 주고 싶을거 같다,Female,40-49,Centrist,Somewhat close
24,vote,젊은 사람을 선호할거 같다,Female,40-49,Centrist,Somewhat close
26,hire,한국인 동료,Male,60+,Progressive,Somewhat distant
26,neighbor,젊은 나이,Male,60+,Progressive,Somewhat distant
26,vote,동료가 많음,Male,60+,Progressive,Somewhat distant
27,hire,정서안정되고 남한에 대한 이해가높음,Female,60+,Centrist,Neither close nor distant
27,neighbor,생할이 안정되고 남한에대한 이해가 되었다고 생각합니다.,Female,60+,Centrist,Neither close nor distant
27,vote,생할이 안정되고 삶에대한 민주의 우수성이해,Female,60+,Centrist,Neither close nor distant
28,hire,북한 이탈 후 중국 체류 기간과 한국 내 체류 기간이 오래 되었으며 현재 직업도 가지고 있음.,Female,40-49,Centrist,Neither close nor distant
28,neighbor,현재 직업이 있음.,Female,40-49,Centrist,Neither close nor distant
28,vote,중국과 한국의 체류 기간이 길고 현재 직업도 있음.,Female,40-49,Centrist,Neither close nor distant
29,hire,신뢰,Male,18-29,Conservative,Neither close nor distant
29,neighbor,남성.전문직.정착원만,Male,18-29,Conservative,Neither close nor distant
29,vote,남성.신뢰,Male,18-29,Conservative,Neither close nor distant
31,hire,중국거주기간이 짧아서,Male,60+,Centrist,Neither close nor distant
31,neighbor,한국 체류기간이 길어서,Male,60+,Centrist,Neither close nor distant
31,vote,나이가어려서,Male,60+,Centrist,Neither close nor distant
32,hire,한국의 문화 잘적응,Male,30-39,Conservative,Somewhat distant
32,neighbor,한국사회 적응잘함,Male,30-39,Conservative,Somewhat distant
32,vote,한국적응 길다,Male,30-39,Conservative,Somewhat distant
33,hire,7년동안 체류했기때문에 한국정성을 알고 있기때문이다,Male,18-29,Progressive,Very distant
33,neighbor,오래 체류한 사람이 일하기 편하다,Male,18-29,Progressive,Very distant
33,vote,한국동료가 잘함께 일할수 있을것 같다,Male,18-29,Progressive,Very distant
34,hire,나이도 성인이며 결혼했으니 기본적인 책임감이 있을것이다,Female,30-39,Centrist,Neither close nor distant
34,neighbor,젊은여성이고 빨리 배울수있을것같다 뭐든지,Female,30-39,Centrist,Neither close nor distant
34,vote,여자니까,Female,30-39,Centrist,Neither close nor distant
35,hire,안정적,Male,30-39,Centrist,Neither close nor distant
35,neighbor,안정적,Male,30-39,Centrist,Neither close nor distant
35,vote,안정적,Male,30-39,Centrist,Neither close nor distant
36,hire,직업을 고려하였음,Male,18-29,Progressive,Neither close nor distant
36,neighbor,연령을 고려하였음,Male,18-29,Progressive,Neither close nor distant
36,vote,B는 너무 어림,Male,18-29,Progressive,Neither close nor distant
37,hire,잘 모르기때문에,Male,30-39,Centrist,Very distant
37,neighbor,중국에 오래있지 않아서,Male,30-39,Centrist,Very distant
37,vote,컴퓨터를 잘 다룰꺼 같아서,Male,30-39,Centrist,Very distant
38,hire,필요성,Female,18-29,Centrist,Neither close nor distant
38,neighbor,편의점직원,Female,18-29,Centrist,Neither close nor distant
38,vote,친근감,Female,18-29,Centrist,Neither close nor distant
39,hire,결혼을 하였고 직장의 안전성도 더 신 뢰가 갑니다.,Female,40-49,Conservative,Somewhat distant
39,neighbor,중국체류 기간도 짧고 연령대도 젊습니다.,Female,40-49,Conservative,Somewhat distant
39,vote,무엇보다 한국내 체류기간이 많기에 친밀도가 높다고 생각합니다.,Female,40-49,Conservative,Somewhat distant
40,hire,한국내 체류기간이 상대적으로 더 길어서,Female,40-49,Centrist,Very distant
40,neighbor,나이도 상대적으로 어리고 한국내체류기간도 상당히됨.,Female,40-49,Centrist,Very distant
40,vote,의사라서,Female,40-49,Centrist,Very distant
41,hire,탈북후 시간이 더 지났고 자녀가있어서 책임감이 있을거같다,Female,60+,Progressive,Neither close nor distant
41,neighbor,나이가 있어서 책임감이 더 있을듯하다,Female,60+,Progressive,Neither close nor distant
41,vote,노동당이 아니라서,Female,60+,Progressive,Neither close nor distant
42,hire,연령을 보았슴,Male,18-29,Progressive,Somewhat close
42,neighbor,연령이 높아서,Male,18-29,Progressive,Somewhat close
42,vote,사무직이어서,Male,18-29,Progressive,Somewhat close
45,hire,관심없음,Male,30-39,Centrist,Neither close nor distant
45,neighbor,프로그래머라,Male,30-39,Centrist,Neither close nor distant
45,vote,딱히 없음,Male,30-39,Centrist,Neither close nor distant
46,hire,더 나은것 같아서,Female,18-29,Centrist,Somewhat distant
46,neighbor,그냥,Female,18-29,Centrist,Somewhat distant
46,vote,그냥,Female,18-29,Centrist,Somewhat distant
47,hire,직업과 학교 체류 기간,Male,60+,Centrist,Neither close nor distant
47,neighbor,컴퓨터 프로그래머라는 직업,Male,60+,Centrist,Neither close nor distant
47,vote,직업과 한국 체류 기간,Male,60+,Centrist,Neither close nor distant
48,hire,직업확실 한국인동료있음,Female,18-29,Progressive,Somewhat distant
48,neighbor,경력,Female,18-29,Progressive,Somewhat distant
48,vote,체류기간,Female,18-29,Progressive,Somewhat distant
49,hire,무난함,Female,60+,Centrist,Somewhat distant
49,neighbor,탈북X,Female,60+,Centrist,Somewhat distant
49,vote,무난,Female,60+,Centrist,Somewhat distant
50,hire,한국내 체류기간이 있어 어느 정도 적응이 되었을 것이므로,Female,60+,Centrist,Somewhat distant
50,neighbor,굳이 둘중에 고르라하니까,Female,60+,Centrist,Somewhat distant
50,vote,오랜 거주기간으로 한국의 문화가 습득되었을거 같다.,Female,60+,Centrist,Somewhat distant
51,hire,여성이고 직업이 의사라서,Male,18-29,Progressive,Somewhat distant
51,neighbor,여성이고 직업이 있어서,Male,18-29,Progressive,Somewhat distant
51,vote,직업이 있어서,Male,18-29,Progressive,Somewhat distant
52,hire,직업이있어서,Male,40-49,Centrist,Very distant
52,neighbor,직업이있어서,Male,40-49,Centrist,Very distant
52,vote,젊기때문에,Male,40-49,Centrist,Very distant
53,hire,취직 기회를 주고 싶다,Male,60+,Centrist,Neither close nor distant
53,neighbor,취업 기회를 주고 싶다,Male,60+,Centrist,Neither close nor distant
53,vote,친구 관계가 좋을 것 같음,Male,60+,Centrist,Neither close nor distant
54,hire,한국인과 탈북민 동료가 있어서,Male,30-39,Centrist,Neither close nor distant
54,neighbor,연령이 어려서,Male,30-39,Centrist,Neither close nor distant
54,vote,연령이 있어서 대화가 통할 것 같아서,Male,30-39,Centrist,Neither close nor distant
56,hire,중국에 오래있으며 고생함,Female,18-29,Conservative,Very close
56,neighbor,무직이므로,Female,18-29,Conservative,Very close
56,vote,이혼의 아품이 있어서,Female,18-29,Conservative,Very close
57,hire,딱히없음,Male,30-39,Centrist,Somewhat distant
57,neighbor,이유없음,Male,30-39,Centrist,Somewhat distant
57,vote,이유없음,Male,30-39,Centrist,Somewhat distant
58,hire,중국체류기간이 적음,Male,40-49,Centrist,Very distant
58,neighbor,조선노동당원이 아니었음,Male,40-49,Centrist,Very distant
58,vote,나이가 젊음,Male,40-49,Centrist,Very distant
59,hire,타국에서 문제없이 12년을 견뎌낼 수 있는 파워가 있으므로,Female,40-49,Centrist,Neither close nor distant
59,neighbor,젊은 패기가 있고 60대 보다는 일처리 능력이 더 있기때문,Female,40-49,Centrist,Neither close nor distant
59,vote,연령대가 비슷하므로,Female,40-49,Centrist,Neither close nor distant
60,hire,그래도 적응을 잘 했을거 같아서,Male,40-49,Centrist,Somewhat distant
60,neighbor,체류기간 김,Male,40-49,Centrist,Somewhat distant
60,vote,체류기간 김,Male,40-49,Centrist,Somewhat distant
61,hire,편의점직원보다 프로그래머의 사회공헌도가 높다,Male,18-29,Conservative,Somewhat distant
61,neighbor,젊은 사람의 사회 공헌기간이 길다,Male,18-29,Conservative,Somewhat distant
61,vote,프로그래머의 사회공헌도가 높다,Male,18-29,Conservative,Somewhat distant
62,hire,한국에 더 오래있었으며 여성우대,Male,40-49,Conservative,Very distant
62,neighbor,직업과 잘맞아서,Male,40-49,Conservative,Very distant
62,vote,여성우대,Male,40-49,Conservative,Very distant
63,hire,없음,Male,18-29,Centrist,Neither close nor distant
63,neighbor,없음,Male,18-29,Centrist,Neither close nor distant
63,vote,없음,Male,18-29,Centrist,Neither close nor distant
66,hire,우리나라 문화를 오래 접하였다.,Male,18-29,Centrist,Neither close nor distant
66,neighbor,젊은 마인드를 가졌을 것이다,Male,18-29,Centrist,Neither close nor distant
66,vote,미혼이어서,Male,18-29,Centrist,Neither close nor distant
68,hire,북한이 때에 따라 탈북민을 이용할 수 있어서,Male,18-29,Centrist,Neither close nor distant
68,neighbor,한국인 동료만 있는사람이 편하다,Male,18-29,Centrist,Neither close nor distant
68,vote,고민끝에 내린 결론이다.,Male,18-29,Centrist,Neither close nor distant
70,hire,한국내 채류기간이 더길다,Male,40-49,Centrist,Neither close nor distant
70,neighbor,직업이 조금더 능력이좋다,Male,40-49,Centrist,Neither close nor distant
70,vote,직업이 더 능력이 좋은직업이다,Male,40-49,Centrist,Neither close nor distant
72,hire,없음,Male,30-39,Centrist,Neither close nor distant
72,neighbor,없음,Male,30-39,Centrist,Neither close nor distant
72,vote,없음,Male,30-39,Centrist,Neither close nor distant
73,hire,전문적인 일을 가지고 있어서,Male,18-29,Centrist,Neither close nor distant
73,neighbor,둘다 비슷하나 굳이 한 명을 고르라 해서,Male,18-29,Centrist,Neither close nor distant
73,vote,여성이라서,Male,18-29,Centrist,Neither close nor distant
74,hire,적응도가 높을것 같아서,Female,18-29,Progressive,Neither close nor distant
74,neighbor,적응기간이 길어서,Female,18-29,Progressive,Neither close nor distant
74,vote,전문성이 있어서,Female,18-29,Progressive,Neither close nor distant
75,hire,직업이 있다는것 때문에,Female,18-29,Progressive,Neither close nor distant
75,neighbor,직업이 의사니깐  성실하게 열심히 살았다는생각  그리고 어려서,Female,18-29,Progressive,Neither close nor distant
75,vote,나이가 어리다  그리고  탈북한지 12년되어서  벌서 적응이 되어서,Female,18-29,Progressive,Neither close nor distant
76,hire,한국체류기간 길고 직업이 있음,Female,60+,Centrist,Very distant
76,neighbor,젊고 직업이 있다,Female,60+,Centrist,Very distant
76,vote,가정 있음,Female,60+,Centrist,Very distant
77,hire,직어이 확실함,Male,60+,Centrist,Neither close nor distant
77,neighbor,한국에 더 오래 체류해서,Male,60+,Centrist,Neither close nor distant
77,vote,지인이 더 많아서,Male,60+,Centrist,Neither close nor distant
78,hire,나이가 좀 있어서,Female,40-49,Centrist,Neither close nor distant
78,neighbor,젊은 사람이 일시키기 편하다,Female,40-49,Centrist,Neither close nor distant
78,vote,중국에 몇년 있어서,Female,40-49,Centrist,Neither close nor distant
79,hire,젊고 전문직기술,Female,30-39,Conservative,Somewhat close
79,neighbor,젊음,Female,30-39,Conservative,Somewhat close
79,vote,젊음,Female,30-39,Conservative,Somewhat close
80,hire,체류기간,Male,60+,Conservative,Very distant
80,neighbor,쳐류기간,Male,60+,Conservative,Very distant
80,vote,인맥관계,Male,60+,Conservative,Very distant
81,hire,그나마 낫고 나이도 있다,Female,18-29,Progressive,Somewhat distant
81,neighbor,노동당은 싫다,Female,18-29,Progressive,Somewhat distant
81,vote,의사가 낫다,Female,18-29,Progressive,Somewhat distant
82,hire,나이가 어려서,Female,18-29,Centrist,Very distant
82,neighbor,나이가 어려서,Female,18-29,Centrist,Very distant
82,vote,직업이 확실해서,Female,18-29,Centrist,Very distant
83,hire,기본 교육을 수료하였기 때문에,Male,18-29,Progressive,Somewhat close
83,neighbor,저렴한 월급을 지불할수 있기 때문에,Male,18-29,Progressive,Somewhat close
83,vote,진실성과 성실성이 양호한 나이라서,Male,18-29,Progressive,Somewhat close
84,hire,자녀가있다,Female,18-29,Centrist,Neither close nor distant
84,neighbor,활용도가 있다,Female,18-29,Centrist,Neither close nor distant
84,vote,전문직,Female,18-29,Centrist,Neither close nor distant
85,hire,남성이 결단력있게 잘 할 것 같습니다.,Male,18-29,Centrist,Somewhat distant
85,neighbor,젊고 지식 수준을 감안하여,Male,18-29,Centrist,Somewhat distant
